,pos,neg
1492,"Неплохая камера, работает сравнительно быстро. ","Ночной режим мог бы быть лучше. Нет режима макро. Режим HDR далеко спрятан. Цена при покупке была явно завышена, около 1000 $. Нет беспроводной зарядки. Из-за того, что модуль камер не в центре, надо постоянно следить, чтобы при горизонтальнй съёмке пальцы не попали в кадр. "
1493,"iPhone есть iPhone.Быстро,качественно и хорошо работает.","Можно бы батарею сделать,чтобы больше держала зарядку."
1494,"Стабильная работа системы, быстрая зарядка и хорошая камера (стандартный режим).","Неудобно управлять одной рукой, разъем 3.5 уже начинает замыкать (разные наушники, 2 месяца эксплуатации)"
1495,"Их очень много. Особенно камера, что фронтальная, что тыловая",Один. Нельзя одновременно подключить гарнитуру и зарадное устройство
1496,"Модель крайне быстро работает Идеальная камера, которая заменяет целую гору других гаджетов, включая даже некоторые проф. фото камеры Отсутствие кнопки home сначала смутило, но 2 дней использования навсегда приковало меня именно к такому интерфейсу На смартфоне идут любые игры","Хрупкость, как и любого другого телефона со стеклянной поверхностью позади"
1497,"Прост в пользовании, не подвержен вирусным атакам, нет технических проблем, не зависает, увеличена емкость аккумулятора",Стеклянный корпус
1498,Удобный функционал. Быстрое реагирование. Неубиваемый корпус и сенсор.,Греется из-за металлического корпуса. 
1499,"Oled экран, шустрый процессор, сканер отпечатков пальца на экране, память 128",Звук иногда не устраивает
1500, Все остальное,"Тяжело входит шнур зарядки, каждый раз боишься сломать. "
1501,"Надёжный, большой, не дорогой...","Довольно тяжёлый, довольно быстро садится батарея, греется...экран мог бы быть и ярче..."
1502,"Не нашёл.
За свои деньги 
За 38тр.
Их нету. ","Вечная проблема с датчиком приближения надо под углом к уху подносить.
Тема во время вызова не меняется она разная хотя сама тема тёмная 
Вопоос ни как не решил. 

"
1503,Их нет.,"Рамочный телефон за 40 тысяч в 2021 году, этим всё сказано. Если этого мало, то он ещё и заряд держит 2-3 часа от силы."
1504,"Сам телефон и есть Плюс.Начиная от дизайна,качества и цены-особенно через год.","Обновление до последнего андроида,предъидущий имал интересней и удобней интерфейс для фото"
1505,Все отлично,GPS сломался и прога камера не обновился последняя дата 2018 г.
1506,Большой экран. Батарея. Не тормозит. Хорошая цена. ,За такой ценник нет. 
1507,"Быстрая зарядка, великолепная разблокировка по лицу и пальцем. После обновления до 9 андроида стал дольше работать. ",Не нашёл. 
1508,"Красивый, современный, самое главное не лагает, очень удобен в использовании. Камера очень крутая. Переходила с андроид на айос впервые, переживала что не подойдет...пользуюсь пол месяца - не знаю как жила раньше! ",пока не нашла
1509,"Чистый андроид,плавность и быстрота работы,автономность,примочки типа огг звука","По мне так-их нету,не стоит ожидать сверх мобилы,но качество=цене,считаю,что у нокии достойный реюнион"
1510,"Классический дизайн, хорошая камера,быстрая скорость работы,адекватный расход заряда АКБ, чистый Android,быстрая зарядка,USB 3.0, технология записи звука OZO, стекло Gorilla glass 5.0, съёмка видео в 4К",Камера иногда ошибается с цветом. При записи видео в FHD запись идёт с небольшими подёргиваниями 
1511,"Лучшая камера, экран, звук.","Цена, если использовать телефон без чехлов и плёнок то экран царапается, на s7 edge экран так не царапался."
1512,Камера,Нет влагостойкости
1513,Производительный смартфон. Интересная реализация кнопки &quot;домой &quot;. С Samsung dexx неплохой компьютер. ,Аккумулятор. Через 6 месяцев до вечера не доживает. Изогнутые края. Изображение заезжают на них. Неудобно. 
1514,"Большой экран 2.5 D, не смотря на размер, удобно лежит в руке. ","Батарея на один световой день, при вай фай, кажется разряжается чуть медленнее, нежели 4G, задняя крышка сразу же покрывается царапинами, нужен чехол. Кстати, на него чехлов нет, они есть, вернее, только не в размер(больше), хотя и написано, что подходят (продавцы сами в шоке). От 7А подходят. "
1515,Просто красивая игрушка,Высокая цена!
1516,"Внешний вид, экран, звук в наушниках, сканер отпечатков, энергопотребление, скорость зарядки, плавность работы, фронтальная камера, NFC, ","Звук из динамика, игровая производительность, хрупкая задняя панель. "
1517,Много.,Слабая батарейка. Очень разряжается быстро.
1518,"Для &quot;бюджетного&quot; устройства неплохие характеристики, есть NFS, USB тип с, хорошие камеры (для етой цены), большой екран, хорошая связь (типично для телефонов Huawei), несмотря на малую ёмкость аккумулятора держит неплохо, к примеру PUBG спокойно от 100 % можно часика 2-2,3 поиграть и ещё на ютуб останется), конечно на минималках,64 GB встроенной памяти, 4 GB оперативной. ","Очень сильно греется при нагрузках, до 57°С доходит только так (час игри в PUBG 50°C в среднем), ляпаетса, царапаеться спереди и сзади(чехол обычный и все будет нормально), люфтят кнопки, сильно очень, толстие рамки. "
1519,"Всё есть, очень умный и красивый. Просто хороший друг, который всегда с тобой)",Не нашла
1520,"камера +,  звук стерео, экран ++","пока нет, но кнопка биксби надоел"
1521,"Все устраивает, весь функционал полностью. Не вижу смысла менять на другую модель, необоснованно завышенную в цене. Да и этот аппарат купил у владельца через полгода, на гарантии, практически новым за треть стоимости от номинала))",пока нету
1522,"Камера. Широкий угол съёмки, прекрасные снимки сразу, много возможностей редактирования фото сразу в галерее, крутые селфи.  Батарея 4000, быстрая зарядка, разблокировка: сканирования лица, отпечаток пальца. Крутой смартфон, быстрый . Я очень рада, что купила в его. Ни разу не пожалела, что рассталась с айфон 8. Плюсов на самом деле много, выделила те, которые для меня главные.","Для мой руки большеват, но уже привыкла????"
1523,Стильный дизайн Батареи хватает на весь день при простом режиме использования Хороший экран Трендовая чёлка НФС и отпечаток пальца,Зарядку можно было бы сделать побыстрее Добавить влагозащищённость Увеличить батарию 
1524,"Очень удобная форма и размер телефона. Экран отличный, камера на уровне камер 2018г. ",Нет
1525,"Относительно шустрый, не тупит. Более менее компактный размер. Неплохие фотографии. ","До этого владел редми 4 про, так тот реально 2 дня батарею держал, а этот за день садится. Ну и оболочка на сяоми гораздо более богата по настройкам. После хонора, только сяоми, но это лишь всего моё мнение. "
1526,У меня телефоны летают об пол часто и больше полугода раньше не жили. Этот почти год уже живёт.,"Скользкой без чехла, а в чехле не видно, какой он на самом деле тонкий."
1527,"Работает на чистом Android One. Долго держит заряд (не менее суток при среднем использовании, не менее 12 ч. при интенсивном). Красивый дизайн. Отличный экран, приятный тачскрин. Очень громкий динамик, качественный звук 3.5 мм jack. Отличное качество звука. Хорошая камера c разными опциями.  Наличие 64 Гб., + карта памяти или 2 SIM. Наличие NFC+GPay.","Если бы официальная стоимость была бы 20 тыс., это был бы идеал."
1528,Всё работает очень хорошо,"Батарею бы побольше, но в принципе не очень напрягает"
1529,Производительность. Камера.,"Качество связи и разговора на плохом уровне. Сырая IOS. Плохое качество корпуса. Начиная с Iphone 6+ так и не решили проблему с люфтом дисплея. Если ранее он до 7+ люфтовал внизу дисплея слева и справа от кнопки &quot;Home&quot;, то в 8+ люфт сильный в верхней части дисплея слева и справа от динамика."
1530,Однозначно камера. Хороший зум и стабилизация. Качество фото и видимо впечатляет,Бред каторый пендосы развели вокруг Huawei 
1531,"Внешний вид, эргономика, производительность(pabg идёт на максимальных без тормозов) , качество дисплея, цена. ","Камера слишком делает не реальные цвета на снимках, медленная серия между ними. "
1532,"-удобный интерфейс без лишней информации и настроек -даже спустя 3 года все еще быстрый -качественная сборка -стиль и эргономика (это вам не разноцветная игрушка, а показатель стиля человека, строгий и без излишеств)","-неоправданно дорогой, купил его еще в далеком 2016 году -нет классического цвета Space Grey"
1533,Я думаю эта модель по всем параметрам лучше всех.,Недостаток нет.
1534,"дизайн, камера, автономность (1.5 -2 дня без проблем), а также невероятно  быструю зарядку на 40 Вт. Благодаря этому, смартфон заряжается до 50% процентов за 15 минут или 85% за 30 минут. Оптический зум это бомба!. снимки  в темноте отменные. И да наконец то появилась нормальная видеозапись, по сравнению с P 20 pro и Mate 20 pro. разница заметна не вооруженным взглядом.Что касается портретного режима, то да прирост  по сравнению с 20-ками в качестве есть но он не гигантский . лишь потому что 20-ки тоже делают отличные портреты с размытием.  на удивление очень часто пользуюсь зумом. очень удобная фишка . часто выручает. ","На данный момент у меня в семье три телефона Huawei P 20 pro, Mate 20 pro и P 30 Pro. Если  сравнивать  P 30 pro и Mate 20 pro то 30-тка стала удобнее лежать в руке. в  Mate 20 pro врезалась в руку сильное закругление экрана и эти постоянные  случайные нажатия в следствие этой же причины, при одинаковых батареях заряд держится намного дольше чем на Mate 20 pro и P 20 pro . вообще 20-ки при батареях 4000 мА·ч и  4200 мА·ч держат одинаково день без проблем. Единственное чего не хватает, так это стерео динамиков, но тут из и не будет из за того , что дисплей выполняет роль разговорного динамика.  "
1535,"внешний вид, отсутствие челки, неплохая камера за свои деньги, Android One","софт ужасен, и не правят его, дороговат на старте"
1536,"Хорошая камера.
Быстрый, отличный экран.
Ловит связь, там где многие не ловят, хорошая антенна. Заряд держит долго,при активном использовании день, а то и полтора. А заряжается за час с хвостиком на 100%.
","Не очень хорошая чувствительность сканера отпечаток пальца. Наверное потому что он встроен в экран, это ноу хау. Может позже доработаю. Но есть и разблокировка по лицу. "
1537,Все нравится... ,Для чайника вроде нет минусов. 
1538,только плюсы,нет
1539,"Быстрота, производительность, хорошая камера, яркий экран, есть NFC","Мало встроенной памяти, слабый звук, слабая батарея"
1540,"Батарея, удобный в части меню и много другое","Качество фото ожидала лучшего, но немного разочарована"
1541,"Мощный, быстрый, отличная камера, хороший аккумулятор",Нету
1542,У меня айфон 7+ он очень удобный и мне нравится по всем категориям я очень им довольна уже как 5 лет пользуюсь только телефона от фирмы apple и всем довольна,Минусов нет
1543,"Большой экран, 2 слота СИМ+карта памяти, качество связи и GPS, качество звука, быстрый сканер отпечатка, NFC, двойная камера (хорошее качество только при хорошем освещении, за эту цену норм).","Маловато емкости аккумулятора, немного не хватает яркости экрана на солнце, нет USB-C"
1544,"Большой экран, программы хорошие","У меня ноте 9 тормозит всегда,моя любимая инвасион игра ( значит фуфло ,лучше айфон"
1545,"1.Камера (основная и фронтальная )
2 Шустрый, без лагов
3.Чистый андроид
4.Зарядка (100%--1,5-2 дня)
5.NFC (Android Pay), очень нужная штука","Пользуюсь смартфоном уже 3 недели, минусов пока что не выявлено"
1546,"Очень быстрая, 2 sim-карты, стильный дизайн (у меня в белом цвете), хорошая батарея, хватает на 2-3 дня, &quot;чистый&quot; Android",Их нет. Или я их пока не нашла.
1547,Стабильная работа,"Толстоват и тяжеловат, особенно в сравнее с ноте 10"
1548,"Экран, оболочка UI, аккумулятор, быстродействие",Звук из динамиков
1549,"Батарейка,екран,камера",Нет
1550,"Большой и яркий дисплей, отличный дизайн и эргономика. Перо это великолепная штука. Незаменимо для рукописных заметок и редактирования фото. Отличный объем памяти, как оперативной, так и встроенной. Ёмкость батареи, хватает на весь день при интенсивной работе. ",Нет
1551,"Хороший, удобный, быстрый, красивый телефон",Защитное стекло по краям плохо ложится
1552,бренд,звук и много дырочек
1553,"Все хорошо все нравиться шустрый ,быстро заряжается,заряда хватает на сутки ","Ставлю на ночь на зарядку утром включить не могу ,ближе к обеду включается "
1554,"Цена, максимум за такие деньги",Не имеет. 
1555,"Цена! Дорогой дизайн, высокое качество сборки, &quot;чистый&quot; Android.",Камера могла бы быть и получше.
1556,"Дешёвый флагман с мощным железом, красивейшая задняя крышка, разнообразные софтовые фишки","Разве что отсутствие влагозащиты. Но она мне особо и не пригодилась бы, а за такую цену просить влагозащиту уже слишком "
1557,"Долго держит заряд, хорошая камера","1. Самопроизвольно теряет сеть, требуется перевключение телефона. Очень неудобно, особенно если решил воспользоваться картой, а тебя послали в Белоруссию 2. Без специализированного сервиса не могу приклеить защитное стекло. Постоянно отклеивается, хотя обычные телефоны вообще не требуют защитные стекла. 3. Основная проблема - копирование фотографий на обычный компьютер Windows. Пыталась копировать через iCloud - нет фоток на компьютере. Программы все сами в себе, никаких настроек, кнопок принудительной выгрузки на комп нет, хотя, как программист я понимаю, что это все можно сделать. Запретила хранение фоток на iCloud, решила, что буду копировать через шнур. Но и тут проблема осталась. Допустим, у меня 50 фотографий, но на компьютер заливается только 10. Если по каким-то причинам не скопировались фото, то узнать эту причину невозможно. Никаких настроек, кнопок по принудительному сбросу фоток на комп нет. Пришлось через обычную почту переливать фотографии. 4. iCloud: позволяет удалять или копировать только по 1 фотографии. Если не залились фотки на комп, то ты сидишь и весь вечер очень аккуратно копируешь. В сервисном центре сказали, что так и должно быть. 5. Тех поддержка: по поводу моих проблем с копированием фото сказали, что если есть претензии к iCloud, то пишите им, если есть претензии по копированию фото на компьютер windows, то пишите им. Разговаривать и объяснять, что мое обращение можно переслать, бесполезно. Они этим не занимаются. 6. Платное прослушивание музыки и книг, в то время, как в компьютере widnows это все бесплатно. 7. Цена при низком качестве ПО и сервиса. 8. Если телефон отвести от рта, то собеседник меня не слышит. Раньше пользовалась книжкой, и таких проблем не было. 9. Сложно заменить музыку для звонка"
1558,"Работает, акб хватает на два дня, хорошая картинка и быстрая зарядка. В интернете ведёт себя шустро. Понравилась возможность видеозаписи изображения с экрана. Камеры неплохие. ",Ценник высоковат. В очках(&quot;полароидах&quot;) не видно экран. USB type C- приходиться таскать с собой шнурок.
1559,"Это просто лучшее что есть на данный момент, но к этому не сразу привыкаешь хотя и держишь в руках)",Недостаток один - любители яблок )
1560,Шустрый телефон с хорошими функциями и камерой.,Иногда зависает при больших нагрузках
1561,Стал большой экран.2 сим карты.И больше нечего,Иногда лагает.И камера недоступна.И зарядка быстро разрежается
1562,"- шустрый - без глюков - большой экран, с хорошей цветопередачей - хорошее качество фото - хороший уровень звука как при разговоре, так и прослушивании контента",За месяц не выявлены. За счет большого экрана немного потерял в эргономике... одной рукой не всегда удобно управляться.
1563,нет плюсов,"Samsung испортились, плохие телефоны стали выпускать, поставлять в Россию. Не покупайте их."
1564,"У iPhone хорошая Камера и он не виснет как гаджеты компаний Sony или Samsung! Телефон достаточно дорогой, но он того стоит!",Минусов нету
1565,Стабильность работы.  Мощный.  Большой аккумулятор. Стилус. Водонипроницаемость. ,Не выявил.
1566,"Не лагает, быстрый, фишка разблокируется лицом","Как и у всех слабая батарейка, мне по работе приходится постоянно включать джпс, так что печалька. "
1567,Очень быстрый,Не нашел
1568,"Быстрый, оперативка, память, аккумулятор",Нет
1569,"Количество памяти, как оперативной, так и основной. Довольно качественные фотографии. Очень хороший аккумулятор (мне с моими постоянными играми и интернетом на полный день хватает с запасом). Отличная цена (брал почти уже год назад за 24к). Своевременное обновление оболочки и Андроида. При максимальной нагрузке - почти не греется, в отличии от всех предыдущих моих смартфонов.",За год использования не выявил.
1570,"Огромный, шикарный экран 120 Гц. вы получаете все доступные на данный момент технологии самсунга. Обалденно лежит в руке (моей руке) без чехла. Фотографии с разрешением 108 МП. Вы не поймёте, пока не посмотрите сами. Звук динамиков. Телефон реально громкий и слышно его очень хорошо))","Exynos 990 его главный минус. Очень хотел купить на 865 драконе, но увы не было в наличии, а ждать 3-4 недели не хотел.  Как следствие, наличие Exynos влечет за собой ужасную автономность...просто дичайше быстро садится ааком, и это при условии что я не играю в игры от слова совсем, они просто не установлены. Ютуб съедает примерно 20-25% в час, навигатор вообще жрёт безбожно!!! Чехол! Одел чехол, ну потому что)) так чехол не закрывает блок камер, они выпирают и соотвтетсвенно церапаются именно они, пришлось купить чехол на блок камер =))) Сами камеры... ну мягко говоря это грусть... мой S8 делал на много чёткие фотографии, чем этот. (я не говорю про фото 108 МП, они просто бесподобны!) Но если мне нужно сделать фотографию с экрана компьютера, то иногда это происходит с 3-4 раза, так как фокус он ловить не любит, и все цифры тупо плывут. Думал поправят в обновлении, но увы... всё по прежнему. Дальше больше. не знаю ,как это объяснить, но: у меня был S8 и в машине, когда я подключал его через БТ получал шикарное качество звука при воспроизведении хоть из ВК, хоть через яндекс музыку. (в машине стоит хороший звук, с сабом и усилителем). Когда я первый раз подключил S20 у меня минут 20 на лице была такая грусть, что хотелось ехать сдавать телефон обратно. Качество заметно хуже, звук не такой чёткий и глубокий. На прошлой неделе друг подключил свой S8 Plus, и мы оба охренели как стало круто звучать музыка в машине.... Вообщем не знаю ,что с этим делать, но это реально бесит."
1571,Качественная сборка. Быстрый. Камера оболденная. За год не разу не завис.,Нету.
1572,"Дорого выглядит. Ощущение в руках дорогой вещи.  Качественный экран,  звук.  Основная камера даже в темное время суток снимает нормально, а при свете любом вообще отлично. Не виснет,  не тупит.  Зарядка USB 3.0. Есть NFS. ",Нет беспроводной зарядки Qi. 
1573,"Большой экран, все летает без тормозов(привет андроидным ????),громкий звук","Я не вижу минусов, полностью доволен телефоном"
1574,"Экран, батарейка, чип,
Приятный на ощупь ","Размер, вес, и все же есть рамка, но не сильно мешает"
1575,"Производительность, камера, звук ","Множество багов, зависание программ, пришлось многие ошибки устранить через AppleCare, не обновляйтесь !"
1576,"Внешний вид, камера, защита от поподания воды (проверенно!!!!), скорость раз блокировки по лицу, простая и удобная оболочка, батарея держит спокойно 1.5 дня при активном использовании. Выбирал между самсункюном S 10+, выбрал этот и не капли не пожалел сыкономил почти 18 тысяч + кашбэк 6 тысяч в ДНС. ",Для себя не нашёл 
1577,"Классный смарт.  Больше всего радует батарея, держит два дня и это при активном использовании.  Камера фотографирует при любой освещенности, на солнце или в темноте. Фото качественные. Процессор справляется на ура!!!",Недостатков не выявил.
1578,Работает идеально))) тормозов не наблюдается по прошествии уже полу года. Стильный и удобный в руке. ,"Батарея на нем слабоват. Заряжается только от родного зарядника от остальных пытается заряжаться, но максимум до %80 и потом сколько бы не стоял все бесполезно."
1579,"Экран, точность тачпада, звук. Про камеру смысла говорить не вижу, все и так знают, что она самая лучшая.
",Не обнаружил. 
1580,"Отличный экран, хорошая производительность, да и в целом телефон не плохой. ","Цена, мне повезло, взял за 15к в январе 2019г, прошивка 9.0.1 глючная, начала плохо срабатывать бесконтактная оплата (на прошлой прошивке было норм). Нет быстрой зарядки. Телефон неудобная лопата, если бы не скидка, не взял, в итоге отдал жене. "
1581,"Камера, экран, скорость работы, объем памяти по дефолту, моментально распознавание отпечатка, своевременно выходящие прошивки ","Если честно то не выявил, не могу назвать минусом время &quot;жизни&quot; батареи т.к. Примерно стандартно для таких девайсов 1 или 1.5 дня"
1582,"Шикарный телефон, всё в нем меня устраивает, пользуюсь год, все отлично! ",Единственный минус который меня бесит это логотип в передней части телефона. 
1583,Греет руки,Тупит греется батарейка слабая 3 часа заряжать на 3 часа хватает
1584,Телефон один большой плюс до него был хонор 10,Нет
1585,"Быстродействие, камера, GSMLTEWiFi Bluetooth модули, работа приложений, тактильные ощущения, обьем памяти.","Время автономной работы, звонилка не удобная, нельзя в T9 контакт набрать, так  как например на самсунге или свайпом в  сторону смс или в  контекстном меню интегрировать sip клиента. Меньшее количество приложений , чем для андроид смартфонов. Lighting разьем, думаю type -C более уместен сейчас. Это если придираться."
1586,"Хорошая память, быстрая зарядка","Не очень качественная камера. Ровно по истечении гарантийного срока начал греться, появилась подпалина в верхнем углу. "
1587,IOS нравилась ,дизайн шлак после четвертой модели стали хуже и хуже 
1588,ценакачество,можно было бы сделать более мощную батарейку
1589,"Качественный экран, большая батарея (+ относительно низкое потребление энергии), функция быстрой зарядки, IP67 (можно помыть жирный телефон под краном), конечно же камера (особенно ночной режим и стабилизация при приближении), комплектация(телефон, зарядник с быстрой зарядкой, наушники, переходник на 3,5мм, плёнка и силиконовый чехол), режим EMUI Desktop и относительно &quot;стерео&quot; динамики! ","Отсутствие слота под microSD, не возможность работать с обеими сим картами одновременно и параллельно, красивая задняя стеклянная крышка быстро собирает отпечатки, отсутствие 3,5мм, динамик (разговорный) при проигрывании мультимедиа тиховат- не выходит качественный стерео эффект, пара сервисов EMUI иногда подглючивают или совсем не удобные (исправляется использованием сторонних сервисов, например, календарь - от Google, клавиатура - только от Google почта - от Google, неудобный плеер - jetAudio или Poweramp)."
1590,"Внешний вид, оболочка,быстродействие, фотоснимки с основной камеры.","Фронталка, отвратительное видео с основной камеры."
1591,Сплошные. Меня все устраивает в работе. ,Для меня нет
1592,"Отличный, яркий дисплей. Изображения не искажает, цветопередача на высоте. Шустрый до нельзя! Удобно лежит в руке - чувствуется флагман. Камера с искусственным интеллектом тоже творит чудеса. Изображения насыщенные и не &quot;шумные&quot;. Корпус не скрипит, не люфтит все сидит на своих местах. Памяти дофига.",Не выявлено.
1593,Скорость работы. Разрешение экрана. Оформление телефона.,Батарея. Едва хватает на два дня. Телефонная книга и контакты. Не могу добиться чтобы контакт при выборе и наборе отображался полностью. Очень не удобно.
1594,Классный телефон,"Запчасти дисплей тачскрин , очень тяжело достать"
1595,"Интерфэйс, двойная камера, дизайн. + все хорошее, что есть в iPhone ",Цена. Не отличается от 7 plus.
1596,размер быстродействие плавность ios,со временем работает хуже
1597,"Отличная камера, отличная производительность, отличный ips экран, ",Отсутствие nfc
1598,Скорость интернета и обработки данных! ,Заряд батареи 
1599,"Стерео звук,очень быстрая работа процессора,отличная камера,очень довольна Siri,понимает почти все команды.",Нет
1600,"Мощный , быстрый, большой экран, удобный в руке.","На ярком солнце ни чего не видно. Вход для наушников в низу, очень неудобно. Немного дороговат."
1601,"Скорость , простота функций",Нет
1602,"Максимальная громкость просто убойная - разбудит даже мертвеца! Яркая красочная, сочная и насыщенная картинка! Объёмная батарея! Камера очень недурного качества!","Родная инструкция по эксплуатации ни о чём: совсем короткая и неподробная! Батарея хоть и объёмная, но при работе садится относительно быстро. Штатный плеер тоже не очень - нет возможности воспроизводить файлы по папкам и отображать по названию. Данную проблему можно решить, скачав другой плеер!"
1603," Отличный экран, шустрый  процессор, вполне вменяемая камера, удобно лежит в руке, батарея хорошо держит заряд, приемлемая стоимость  ну и потрясающий внешний вид ",Скользковатый корпус...Хотя ни разу не выскальзывал (три раза через плечо...)
1604,"Мощный, удобный, аккумулятора хватает за глаза, был до него 3t, и никапли не жалею, что купил аппарат ",Их нет 
1605,"Долго держит батарею, быстро работает, тянет любую игру",Минусов нет. 
1606,"Удобный, шустренький, камера радует, батарея.","Считаю что цена завышена. 25 тыс вполне нормальная была бы. Теперь конкретно. Очень плохо с интернетом. Сижу на работе, подключаюсь по wi-fi и запускаю какую-нибудь прямую трансляцию и эпизодически вылетает. Это первое. Второе. Приобрёл данный девайс на замену Люмиа 735. Так вот, находясь дома,мобильный интернет (wi-fi нет) отваливается постоянно! У Люмии таких проблем не было. и последнее, цены на аксессуары и их наличие в магазинах не радует т.к. их нет. Под заказ пожалуйста, а чтоб просто прийти и купить, почти не реально. Говорю о г. Краснодар."
1607,"Просто превосходный телефон с технической стороны, без шуток. Хорошая камера, экран, дизайн, батарея и др.","Ужаснейшая прошивка Emui - просто кошмар. Отвратительней поддержки чем у HuaweiHonor я не встречал. Когда покупаешь флагман, компания через два месяца выпускает такой же телефон, только с камерой немного хуже, и дешевле на пару тысяч. Итог &quot;флагман&quot; всё ещё ваша модель официально. А на деле всё внимания, все передовые обновления и бета тесты на новых моделях, а о том что есть флагман все забыли, особенно компания HuaweiHonor"
1608,"Большой экран, функциональность, хорошая батарея (на 1,5 суток). Очень удобно держать в руке!!! ","За 2 недели использования пока не нашла, но от камеры ждала большего. Камера на хорошую 4. "
